Facility Name,Facility Address,Bathroom ONLY,Water Fountain ONLY,Both: Bathroom + Water
72nd Street Equestrian Park,"550 72nd Street, Long Beach, CA 90805",x,,
Acton Park,"3751 Syracuse Avenue, Acton, CA 93510",x,,
Adventure Park,"10130 South Gunn Avenue, Whittier, CA 90605",,,x
Allen J. Martin Park,"14830 East Giordano Street, La Puente, CA 91744",,,x
Alondra Community Regional Park,"3850 Manhattan Beach Boulevard, Lawndale, CA 90260",,,x
Altadena Triangle Park,"800 East Altadena Drive, Altadena, CA 91001",,x,
Amelia Mayberry Park,"13201 East Meyer Road, Whittier, CA 90605",,,x
Amigo Park,"5700 South Juarez Avenue, Whittier, CA 90606",,,x
Apollo Community Regional Park,"4555 West Avenue G, Lancaster, CA 93534",x,,
Arboretum and Botanic Garden,"301 North Baldwin Avenue, Arcadia, CA 91006",,,x
Arcadia Community Regional Park,"405 South Santa Anita Avenue, Arcadia, CA 91006",,,x
Athens Park,"12603 South Broadway, Los Angeles, CA 90061",,,x
Atlantic Avenue Park,"570 South Atlantic Boulevard, East Los Angeles, CA 90022",,,x
Avenue Park,"553 South 4th Avenue, La Puente, CA 91746",x,,
Avocado Heights Park,"14105 Don Julian Road , La Puente, CA 91746",,,x
Bassett Park,"510 North Vineland Avenue , La Puente, CA 91746",,,x
Belvedere Community Regional Park,"4914 East Cesar Chavez Avenue, Los Angeles, CA 90022",,,x
Bill Blevins Park,"19500 East Windrose Drive, Rowland Heights, CA 91748",,,x
Blackwill Equestrian Park,"10149 Rooks Road, Whittier, CA 90660",x,,
Bodger Park,"14900 South Yukon Avenue, Hawthorne, CA 90250",,,x
Bosque del Rio Hondo,"9311 San Gabriel Boulevard, South El Monte, CA 91733",x,,
Carolyn Rosas Park,"18500 East Farjardo Street, Rowland Heights, CA 91748",x,,
Castaic Lake State Recreation Area,"32132 Castaic Lake Drive, Castaic, CA 91384",x,,
Castaic Regional Sports Complex,"31320 North Castaic Road, Castaic, CA 91384",,,x
Charles S. Farnsworth Park,"568 East Mount Curve Avenue, Altadena, CA 91001",,,x
Charles White Park,"77 Mountain View Street, Altadena, CA 91001",x,,
Charter Oak Park,"20261 East Covina Boulevard, Covina, CA 91723",x,,
City Terrace Park,"1126 North Hazard Avenue, East Los Angeles, CA 90063",,,x
Col. Leon H. Washington Park,"8908 South Maie Avenue, Los Angeles, CA 90002",,,x
Countrywood Park,"16817 East Copper Hill Road, Hacienda Heights, CA 91745",,,x
Crescenta Valley Community Regional Park,"3901 Dunsmore Avenue, La Crescenta, CA 91214",,,x
Dalton Park,"18867 East Armstead Street, Azusa, CA 91702",,,x
Deane Dana Friendship Natural Area and Nature Center,"1805 West 9th Street, San Pedro, CA 90732",x,,
Del Aire Park,"12601 South Isis Avenue, Hawthorne, CA 90250",,,x
Del Valle Park,"28201 West Sloan Canyon, Castaic, CA 91384",x,,
Descanso Gardens,"1418 Descanso Drive, La Canada Flintridge, CA 91011",,,x
Devil's Punchbowl Natural Area and Nature Center,"28000 Devil's Punchbowl Road, Pearblossom, CA 93553",x,,
Dexter Park,"11053 North Trail Road, Kagel Canyon, CA 91342",x,,
Don Knabe Community Regional Park,"19700 South Bloomfield Avenue, Cerritos, CA 90701",,,x
Dr. Richard H. Rioux Memorial Park,"26233 West Faulkner Drive, Stevenson Ranch, CA 91381",,,x
"Earvin ""Magic"" Johnson Recreation Area","905 East El Segundo Boulevard, Los Angeles, CA 90059",,,x
East Rancho Dominguez Park,"15116 South Atlantic Avenue, Compton, CA 90221",,,x
Eastside Eddie Heredia Boxing Club,"5127 East Olympic Boulevard, Los Angeles, CA 90022",,,x
Eaton Canyon Natural Area and Nature Center,"1750 North Altadena Drive, Pasadena, CA 91001",,,x
El Cariso Community Regional Park,"13100 Hubbard Street, Sylmar, CA 91342",x,,
El Parque Nuestro,"1675 Gage Avenue, Los Angeles, CA 90011",,x,
Enterprise Park,"13055 Clovis Street, Los Angeles, CA 90059",,,x
Eugene A. Obregon Park,"4021 East First Street, Los Angeles, CA 90063",,,x
Everett Martin Park,"35548 North 92nd Street East, Littlerock, CA 93543",x,,
Faith and Hope Park,"2247 East 119th Street, Los Angeles, CA 90059",,x,
Frank G. Bonelli Equestrian Center,"Via Verde and Camper View Road, San Dimas, CA 91773",x,,
Frank G. Bonelli Regional Park,"120 Via Verde Park Road, San Dimas, CA 91773",,,x
Franklin D. Roosevelt Park,"7600 Graham Avenue, Los Angeles, CA 90001",,,x
George Lane Park,"5520 West Avenue L-8, Quartz Hill, CA 93534",x,,
George Washington Carver Park,"1400 East 118th Street, Los Angeles, CA 90059",,,x
Gloria Heer Park,"18109 East Gallineta Street, Rowland Heights, CA 91748",,,x
Greater Whittier Regional Aquatic Center,"8028 Pioneer Blvd.
 
 Whittier, CA 90606",,,x
Hacienda Heights Community and Recreation Center,"1234 Valencia Avenue, Hacienda Heights, CA 91745",,,x
Hasley Canyon Equestrian Park,"29201 Avenue Penn, Valencia, CA 91355",x,,
Hasley Canyon Park,"28700 West Quincy Street, Castaic, CA 91384",x,,
Helen Keller Park,"12521 South Vermont Avenue, Los Angeles, CA 90044",,,x
Highland Camrose Park,"2101 North Highland Avenue, Los Angeles, CA 90068",x,,
Hilda S. Solis Aquatic Center,"14804 Temple Ave, La Puente, CA 91744",,,x
Hollywood Bowl,"2301 North Highland Avenue, Los Angeles, CA 90068",,,x
Jackie Robinson Park,"8773 East Avenue R, Littlerock, CA 93543",x,,
Jake Kuredjian Park,"25265 Pico Canyon Road, Stevenson Ranch, CA 91381",x,,
Jesse Owens Community Regional Park,"9651 South Western Avenue, Los Angeles, CA 90047",,,x
John Anson Ford Amphitheatre,"2580 Cahuenga Boulevard East, Los Angeles, CA 90068",,,x
Kenneth Hahn State Recreation Area,"4100 South La Cienega Boulevard, Los Angeles, CA 90056",x,,
Knollwood Pool,"12040 Balboa Boulevard, Granada Hills, CA 91343",x,,
La Mirada Community Regional Park,"13701 South Adelfa Avenue, La Mirada, CA 90638",,,x
Ladera Park,"6027 Ladera Park Avenue, Los Angeles, CA 90056",,,x
Lario Staging Area,"15701 Foothill Boulevard, Azusa, CA 91702",x,,
Lennox Park,"10828 South Condon Avenue, Lennox, CA 90304",,,x
Loma Alta Park,"3330 North Lincoln Avenue, Altadena, CA 91001",x,,
Los Robles Park,"14906 East Los Robles Avenue, Hacienda Heights, CA 91745",,,x
Manzanita Park,"1747 South Kwis Avenue, Hacienda Heights, CA 91745",x,,
Marshall Canyon Equestrian Center,"7000 Esperanza Road, La Verne, CA 91750",x,,
Marshall Canyon Regional Park & Nursery,"6550 North Stephens Ranch Road, La Verne, CA 91750",x,,
Mary M. Bethune Park,"1244 East 61st Street, Los Angeles, CA 90001",,,x
McNees Park,"11590 Hadley Boulevard, Whittier, CA 90606",,x,
Michillinda Park,"3800 Michillinda Drive, East Pasadena, CA 91107",x,,
Mona Park,"2291 East 121st Street, Compton, CA 90222",,,x
Nogales Park,"2603 Grand Ave, Huntington Park, CA 90255",,,x
Orange Grove Park,"14505 Orange Grove Avenue, Hacienda Heights, CA 91745",x,,
Pamela County Park,"2236 Goodall Avenue, Duarte, CA 91010",,,x
Parque de los Suenos,"1333 South Bonnie Beach Place, Los Angeles, CA 90032",,,x
Pathfinder Community Regional Park,"18150 Pathfinder Road, Rowland Heights, CA 91748",,,x
Pearblossom County Park,"33922 North 121st Street East, Pearblossom, CA 93553",x,,
Peck Road Water Conservation Park,"5401 North Peck Road, Arcadia, CA 91006",,,x
Pepperbrook Park,"1701 South Countrywood Avenue, Hacienda Heights, CA 91745",,,x
Peter F. Schabarum Regional Park,"17250 East Colima Road, Rowland Heights, CA 91748",,,x
Pico Canyon Park,"25600 Pico Canyon Road, Stevenson Ranch, CA 91381",x,,
Placerita Canyon Natural Area and Nature Center,"19152 Placerita Canyon Road , Newhall, CA 91321",x,,
Rimgrove Park,"747 North Rimgrove Drive, La Puente, CA 91744",,,x
Rowland Heights Park,"1500 South Banida Avenue, Rowland Heights, CA 91748",,,x
Roy Campanella Park,"14812 Stanford Avenue, Compton, CA 90220",,,x
Ruben F Salazar Park,"3864 Whittier Boulevard, Los Angeles, CA 90023",,,x
San Angelo Park,"245 South San Angelo Avenue, La Puente, CA 91746",x,,
San Dimas Canyon Community Regional Park,"512 Sycamore Canyon Road, San Dimas, CA 91773",,,x
San Dimas Canyon Natural Area and Nature Center,"1628 Sycamore Canyon Road, San Dimas, CA 91773",x,,
San Gabriel River Park,"255 San Fidel Ave, La Puente CA 91746",,,x
Santa Fe Dam Recreational Area,"15501 East Arrow Highway, Irwindale, CA 91706",,,x
Saybrook Park,"6250 East Northside Drive, Los Angeles, CA 90022",,,x
Sorensen Park,"11419 Rosehedge Drive, Whittier, CA 90606",,,x
South Coast Botanic Garden,"26300 Crenshaw Boulevard, Palos Verdes Estates, CA 90274",x,,
South County Community Services Agency,"360 West El Segundo Boulevard, Los Angeles, CA 90061",,,x
Stephen Sorensen Park,"16801 East Avenue P, Lake Los Angeles, CA 93591",x,,
Stoneview Nature Center,"5950 Stoneview Drive, Culver City, CA 90232",,,x
Sunshine Park,"515 South Deepmead Avenue, La Puente, CA 91744",x,,
Ted Watkins Memorial Park,"1335 East 103rd Street, Los Angeles, CA 90002",,,x
Tesoro Adobe Historic Park,"29350 Avenida Ranchero Tesoro, Valencia, CA 91354",x,,
Thomas S. Burton Park,"16490 East Santa Bianca Drive, Hacienda Heights, CA 91745",,,x
Two Strike County Park,"5107 Rosemont Avenue, La Crescenta, CA 91214",,,x
Val Verde Community Regional Park,"30300 West Arlington Road, Val Verde, CA 91384",x,,
Valleydale Park,"5525 North Lark Ellen Avenue, Azusa, CA 91702",,,x
Veterans Memorial Community Regional Park,"13000 Sayre Street, Sylmar, CA 91342",x,,
Victoria Community Regional Park,"419 Martin Luther King Jr. Street, Carson, CA 90746",,,x
Virginia Robinson Gardens,"1008 Eldan Way, Beverly Hills, CA 90210",x,,
Walnut Nature Park,"2642 Olive Street, Walnut Park, CA 90255",x,,
Washington Ave Park,"15614 South Washington Avenue, Compton, CA 90221",,,x
West Picnic Valley Staging Area,"120 Via Verde Park Road, San Dimas, CA 91773",,x,
Whittier Narrows Equestrian Center,"12191 Rooks Road, Whittier, CA 90601",x,,
Whittier Narrows Natural Area and Nature Center,"1000 Durfee Road, South El Monte, CA 91733",x,,
Whittier Narrows Recreation Area,"750 South Santa Anita Avenue, South El Monte, CA 91733",,,x
William Steinmetz Park,"1545 South Stimson Avenue, Hacienda Heights, CA 91745",,,x
Williams Ranch Park,"28809 Old Spgs Rd, Castaic, CA 91384",x,,
Wishing Tree Park,"28809 Old Spgs Rd, Castaic, CA 91384",,,x
Woodcrest Play Park,"1340 West 106th Street, Los Angeles, CA 90044",,x,