Facility Name,Facility Address,Bathroom ONLY,Water Fountain ONLY,Both: Bathroom + Water,Type
Chatsworth Metro Station,"10040 Old Depot Plaza Rd, Chatsworth, CA 91311",x,,,Throne
Reseda Metro Station,"6065 North Reseda Boulevard, Los Angeles, CA 91335",x,,,Throne
Universal City / Studio City Metro Station,"3901 Lankershim Blvd Universal City, CA 91608",x,,,Throne
Vermont / Sunset Metro Station,"1500 N Vermont Ave Los Angeles, CA 90027",x,,,Throne
Westlake / MacArthur Park Metro Station,"660 S Alvarado St Los Angeles, CA 90057",x,,,Throne
APU / Citrus College Metro Station,"6898 North Citrus Avenue, Azusa, CA 91702",x,,,Throne
Monrovia Metro Station,"1675 S Primrose Ave Monrovia, CA 91016",x,,,Public Restroom
Sierra Madre Villa Metro Station,"149 N Halstead St Pasadena, CA 91107",x,,,Throne
Memorial Park Metro Station,"125 E Holly St, Pasadena, CA 91103",x,,,Throne
Highland Park Metro Station,"151 N Ave 57 Los Angeles, CA 90042",x,,,Throne
Chinatown Metro Station,"901 N Spring St Los Angeles, CA 90012",x,,,Throne
Union Station Metro Station,"800 N Alameda St Los Angeles, CA 90012",,,x,Metro Restroom
El Monte Metro Station,"3501 Santa Anita Ave El Monte, CA 91731",x,,,Metro Restroom
Atlantic Metro Station,"	5150 East Pomona Boulevard East Los Angeles, California",x,,,Throne
Soto Metro Station,"2330 E 1st St, Los Angeles, CA 90033",x,,,Throne
Little Tokyo / Arts District Metro Station,"402 East 1st Street, Los Angeles, CA 90012",x,,,Throne
Downtown Santa Monica Metro Station ,"402 Colorado Ave, Santa Monica, CA 90401",x,,,Throne
Culver City Metro Station,"8817 Washington Blvd Culver City, CA 90232",x,,,Throne
Expo / Crenshaw Metro Station,"3428 Exposition Blvd. Los Angeles, CA 90018",x,,,Throne
LAX / Metro Transit Center Metro Station,"9225 Aviation Blvd Los Angeles, CA 90045",,,x,Metro Restroom
Redondo Beach Metro Station,"5251 Marine Ave, Redondo Beach, CA 90278",x,,,Throne
Crenshaw Metro Station,"3428 W Exposition Blvd. Los Angeles, CA 90016",x,,,Throne
Harbor Freeway Metro Station,"11500 S Figueroa St. Los Angeles, CA 90061",x,,,Throne
Slauson Metro Station,"1700 Slauson Avenue, Los Angeles, California 90047",x,,,Throne
Harbor Gateway Transit Center,"731 West 182nd Street Gardena, CA 90248",x,,,Metro Restroom
Firestone Metro Station,"8615 Graham Avenue, Firestone Park, California",x,,,Throne
Willowbrook / Rosa Parks Metro Station,"11611 Willowbrook Avenue, Los Angeles, CA 90059",x,,,Throne
Norwalk Metro Station,"12901 Hoxie Avenue, Norwalk, California 90650",x,,,Throne
Willow St Metro Station,"2750 W American Ave. Long Beach, CA 90806",x,,,Throne
Canoga Metro Station,"6552 Canoga Ave, Canoga Park, CA 91303",x,,,Throne
Balboa Metro Station,"6338 Balboa Blvd. Encino, CA 91316",x,,,Throne
North Hollywood Metro Station,"11299 Chandler Blvd, North Hollywood, CA 91601",x,,,Throne
Hollywood / Highland Metro Station,"6815 Hollywood Blvd, Los Angeles, CA 90028",x,,,Public Restroom
Hollywood / Western Metro Station,"5450 Hollywood Blvd, Los Angeles, CA 90027",x,,,Throne
Vermont / Sunset Metro Station,"1500 N Vermont Ave, Los Angeles, CA 90027",x,,,Throne
Vermont / Beverly Metro Station,"301 N Vermont Ave, Los Angeles, CA 90004",x,,,Throne
Expo / Sepulveda Metro Station,"2510 S Sepulveda Blvd. Los Angeles, CA 90064",x,,,Throne
Westwood / Rancho Park,"2600 Westwood Blvd. Los Angeles, CA 90064",x,,,Throne
Leimert Park Metro Station,"4330 Crenshaw Blvd, Los Angeles, CA 90008",x,,,Throne
Downtown Inglewood Metro Station,"321 E. Florence Ave, Inglewood, CA 90301",x,,,Throne
Florence Metro Station,"7225 Graham Ave. Los Angeles, CA 90002",x,,,Throne
Avalon Metro Station,"11667 South Avalon Boulevard, Los Angeles",x,,,Throne
Artesia Metro Station,"1920 S Acacia Ave. Compton, CA 90220",x,,,Throne
Downtown Long Beach Metro Station,"128 W 1st St, Long Beach, CA, 90802",x,,,Public Restroom
Civic Center / Grand Park Metro Station,"101 S Hill St, Los Angeles, CA 90013",x,,,Public Restroom
South Pasadena Metro Station,"905 Meridian Av, South Pasadena 91030",x,,,Throne
Pomona North Metro Station,"205 Santa Fe St. Pomona, CA 91767",x,,,Throne
Indiana Metro Station,"210 S Indiana St. Los Angeles, CA 90063",x,,,Throne
Mariachi Plaza Metro Station,"1831 1st St, Los Angeles, CA 90033",x,,,Throne